"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract","0","10.5943/mycosphere/5/2/10","nepenthes ampullaria","meyerozyma guilliermondii",NA,"present","endophytic","isolated from nepenthes spp.","tropical",NA,"abstract-csv","doi_10.5943_mycosphere_5_2_10","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.pmpp.2025.102856","perennial ryegrass (lolium perenne)","arbuscular mycorrhizal fungi (claroideoglomus etunicatum)","leaf","present","symbiotic","co-colonization of amf and epichloe<spacing diaeresis> endophyte alleviates leaf spots caused by bipolaris sorokiniana",NA,NA,"abstract-csv","doi_10.1016_j.pmpp.2025.102856","Abstract"
"Relevant","abstract","abstract","0","10.2307/3807845","festucoid grasses","epichloe typhina",NA,"present","endophytic","stromata formation suppressed by grass individuals","possibly due to production of alkaloids",NA,NA,"abstract-csv; doi_10.2307_3807845","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.funbio.2015.11.006","erica (familyericaceae)","taxonleohumicola sp.","roots","present","mycorrhizal (ericoid mycorrhizal)","isolated from erica roots","fynbos ecosystem",NA,"abstract-csv","doi_10.1016_j.funbio.2015.11.006","Abstract"
"Relevant","abstract","abstract","0","10.1111/efp.12487","pinus sylvestris","neocatenulostroma germanicum","needle","present",NA,"cenangium ferruginosum","coniothyriumcomplex","desmazierella acicola","neocatenulostroma germanicum",NA,"Abstract"
"Relevant","abstract","abstract","0","10.1016/j.scitotenv.2024.172590","phragmites australis","rhizophagus",NA,"present","endophytic","arbuscular mycorrhizal","found in juncus effusus and phragmites australis plants. positive correlations with cyanotoxin removal.","constructed wetlands",NA,"abstract-csv; doi_10.1016_j.scitotenv.2024.172590","Abstract"
"Relevant","abstract","abstract","0",NA,"enhalus acoroides","penicillium sp.",NA,"present","endophytic","isolated from seagrass","enhalus acoroides","collected from trang province","thailand.","marine; thailand; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.jtusci.2013.09.002","cowpea (vigna unguiculata l.)","penicillium chrysogenum","seeds","present",NA,"isolated from legume seeds collected in almadinah almunawwarah","saudi arabia","urban","saudi arabia","abstract-csv; doi_10.1016_j.jtusci.2013.09.002","Abstract"
"Relevant","abstract","abstract","0","10.15376/biores.20.1.1251-1272","liquidambar orientalis mill.","pseudopithomyces rosae","leaves and petioles","present","endophytic","pathogenic (for some species)","isolated from leaves and petioles of the plant",NA,"türkiye","abstract-csv; doi_10.15376_biores.20.1.1251-1272","Abstract"
"Relevant","abstract","abstract","0","10.1603/ec12355","festuca arundinacea schreber (tall fescue)","intercellular fungal endophyte","aboveground","belowground","present","endophytic",NA,"(not provided in text)","(not provided in text)","abstract-csv; doi_10.1603_ec12355","Abstract"
"Relevant","abstract","abstract","0","10.2217/nnm.09.77","azadirachta indica a. juss.","aspergillus clavatus","stem","present","endophytic","isolated from sterilized stem tissues",NA,NA,"abstract-csv","doi_10.2217_nnm.09.77","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.funeco.2021.101137","pinus uncinata","fusarium circinatum",NA,"present","pathogenic","inoculated into the trees prior to the experiment",NA,NA,"abstract-csv","doi_10.1016_j.funeco.2021.101137","Abstract"
"Relevant","abstract","abstract","0","10.3389/fmicb.2021.771000","ligusticum chuanxiong hort","penicillium oxalicum",NA,"present","endophytic","isolated from ligusticum chuanxiong hort",NA,NA,"abstract-csv","doi_10.3389_fmicb.2021.771000","Abstract"
"Relevant","abstract","abstract","0","10.1094/pbiomes-04-19-0022-r","camassia (camas)","penicillium","root","present","endophytic","isolated from root tissue","wetland habitats of the pacific northwest","oregon","idaho","washington; abstract-csv; doi_10.1094_pbiomes-04-19-0022-r","Abstract"
"Relevant","abstract","abstract","0","10.1007/bf00222883","festuca arizonica","acremonium spp.","seed (symbiotic unit)","present","mutualistic","endophytes are mutualistic fungal symbionts of c3 grasses","anamorphs of epichloe typhina","and have become strictly seedborne","heritable components of symbiotic units.",NA,"Abstract"
"Relevant","abstract","abstract","0","10.4489/kjm.520408","calanthe discolor","phylumascomycota","root","present","mycorrhizal","isolated from roots of calanthe discolor and cephalanthera longibracteata","inoculated onto c. discolor seedlings","(not provided in text)","(not provided in text)","abstract-csv; doi_10.4489_kjm.520408","Abstract"
"Relevant","abstract","abstract","0","10.1007/s10529-013-1347-7","arachis hypogaea (peanut)","phomopsis liquidambari","soil","present","endophytic","with potential for growth promotion","isolated from soil and applied to promote peanut growth","agricultural soil","(not provided in text)","abstract-csv; doi_10.1007_s10529-013-1347-7","Abstract"
"Relevant","abstract","abstract","0","10.1111/gfs.12404","phleum pratense l.","alternaria alternata",NA,"present","endophytic","isolated from timothy grass",NA,NA,"abstract-csv","doi_10.1111_gfs.12404","Abstract"
"Relevant","abstract","abstract","0","10.4268/cjcmm20110906","rehmannia glutinosa","ceratobasidium sp.","swollen roots","present","endophytic","isolated from swollen roots","thought to be a major promoter for root growth",NA,NA,"abstract-csv; doi_10.4268_cjcmm20110906","Abstract"
"Relevant","abstract","abstract","0","10.3390/plants12030683","ferns (unspecified species)","diaporthe spp.","leaf","present","pathogenic","isolated from diseased and dead plants of ten fern or fern-like species from chiang rai in northern thailand.","tropical forest","northern thailand","thailand","abstract-csv; doi_10.3390_plants12030683","Abstract"
"Relevant","abstract","abstract","0","10.11646/phytotaxa.415.1.3","various riparian plants","tricladium angulatum","submerged leaf litter and live roots","present","endophytic","isolated from submerged leaf litter and live roots","aquatic","riparian","india (kumaun himalaya)","abstract-csv; doi_10.11646_phytotaxa.415.1.3","Abstract"
"Relevant","abstract","abstract","0","10.13343/j.cnki.wsxb.20200799","camellia sinensis (tea plant)","pseudopestalotiopsis","leaves","present","endophytic","isolated from tea leaves","diseased and healthy groups. dominate in diseased group samples.",NA,NA,"abstract-csv; doi_10.13343_j.cnki.wsxb.20200799","Abstract"
"Relevant","abstract","abstract","0",NA,"oryza sativa (rice)","fusarium verticillioides","seed","present","pathogenic","the compounds were tested against these fungal pathogens.",NA,NA,"abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1094/phyto-80-1133","brachyelytrum erectum","acremonium",NA,"present","endophytic","isolated from various host grass species",NA,NA,"abstract-csv","doi_10.1094_phyto-80-1133","Abstract"
"Relevant","abstract","abstract","0","10.3923/jm.2008.520.534","chickpea","alternaria alternata","seeds","present",NA,"isolated from fabaceae seeds collected from libya using seed-plate method and dilution-plate method","agricultural","libya","abstract-csv","doi_10.3923_jm.2008.520.534","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.heliyon.2021.e06399","phragmites australis","saccharomycetales",NA,"present","endophytic and rhizospheric","isolated from rhizosphere and root endosphere of p. australis growing in an amd-polluted environment.","acid mine drainage environment",NA,"abstract-csv","doi_10.1016_j.heliyon.2021.e06399","Abstract"
"Relevant","full-text","full-text","12","10.3389/fmicb.2022.843389","nicotiana tabacum l.","phoma","leaf","present","pathogenic","isolated from symptomatic leaves",NA,"china","full-text","doi_10.3389_fmicb.2022.843389","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s13225-012-0167-8","populus euphratica","unspecified from the text","leaf","present","endophytic","isolated from dried leaves of populus euphratica in a continental desert area in central china","desert","china","abstract-csv","doi_10.1007_s13225-012-0167-8","Abstract"
"Relevant","abstract","abstract","0","10.1111/jam.14508","arachis hypogaea (peanut)","sclerotium rolfsii","seed","present","biocontrol agent","isolated from peanut seeds","exhibits antagonistic activity against s. rolfsii",NA,NA,"abstract-csv; doi_10.1111_jam.14508","Abstract"
"Relevant","abstract","abstract","0",NA,"dermatocarpon miniatum","scopulariopsis sp.","thallus","present","endophytic","isolated from lichen thalli","mountain","china","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0",NA,"vigna radiata (mungbean)","23 total isolated from the rhizosphere","rhizosphere","present","saprotrophic","isolated from the rhizosphere of mungbean.","sandy loam soil",NA,NA,"abstract-csv; doi_nan","Abstract"
"Relevant","full-text","full-text","13","10.1186/s12866-019-1440-8","saccharum officinarum (sugarcane)","fusarium","leaf","present","endophytic or pathogenic (not explicitly stated)","isolated from diseased leaves of sugarcane","agricultural field in golaghat district","assam","india","full-text; doi_10.1186_s12866-019-1440-8","Full-Text"
"Relevant","abstract","abstract","0","10.21475/poj.10.05.17.pne853","elaeis guineensis jacq.","dothidiomycetes sp. mtd 29","root","present","endophytic","pathogenic","inoculated in axenic condition to oil palm plantlets. chitinase activity observed in root of oil palm plantlets.",NA,NA,"abstract-csv; doi_10.21475_poj.10.05.17.pne853","Abstract"
"Relevant","full-text","full-text","14","10.3389/fpls.2016.01395","lolium perenne","epichloë fungi","root","present","endophytic","protection from herbivory via the production of alkaloids.","pasture","new zealand","full-text","doi_10.3389_fpls.2016.01395","Full-Text"
"Relevant","abstract","abstract","0","10.1071/cp21343","hordeum brevisubulatum (trin.) link","epichloe bromicola","seedlings","present","endophytic","infecting grasses with epichloe endophyte contributes to host plant salt tolerance. infection is required for peramine production in the host grass.",NA,NA,"abstract-csv","doi_10.1071_cp21343","Abstract"
"Relevant","abstract","abstract","0","10.1007/s00572-001-0146-5","gaultheria poeppiggi dc","ericoid mycorrhizas","roots","present",NA,NA,"endophytic","presence of three types of fungal symbiontsericoid mycorrhizas","dark septate fungal endophytes","and arbuscular mycorrhizas in roots.; (not provided in text); central argentina; abstract-csv; doi_10.1007_s00572-001-0146-5","Abstract"
"Relevant","abstract","abstract","0","10.1128/aem.01175-14","morelets tree frog (agalychnis moreletii)","opportunistic fungi (unspecified)","skin","present","pathogenic","proliferation of fungi after pit tagging and handling","captive environment","not-provided","abstract-csv","doi_10.1128_aem.01175-14","Abstract"
"Relevant","abstract","abstract","0","10.1177/1934578x1501000427","ceramium sp.","phaeosphaeria spartinae","marine alga","present","endophytic","isolated from marine alga","marine","(not provided in text)","abstract-csv","doi_10.1177_1934578x1501000427","Abstract"
"Relevant","full-text","full-text","10","10.26554/sti.2022.7.3.303-312","syzygium zeylanicum","phialemonium sp.","stem bark","present","endophytic","isolated from surface-sterilized stem bark",NA,"indonesia","full-text","doi_10.26554_sti.2022.7.3.303-312","Full-Text"
"Relevant","abstract","abstract","0","10.1111/j.1751-7915.2011.00253.x","heracleum sosnowskyi manden (giant hogweed)","bacillus subtilis hc8","root","present","endophytic","isolated from giant hogweed","promoted radish root growth and protected tomato plants against tomato foot and root rot.","(not provided in text)","russia","abstract-csv; doi_10.1111_j.1751-7915.2011.00253.x","Abstract"
"Relevant","abstract","abstract","0","10.13341/j.jfr.2022.1524","tamarix ramosissima","alternaria alternata","branches","leaves","present","endophytic","isolated from different organs of t. ramosissima plant",NA,NA,"abstract-csv; doi_10.13341_j.jfr.2022.1524","Abstract"
"Relevant","full-text","full-text","11","10.3389/fmicb.2024.1415329","imperata cylindrica","massilia sp.","seed","rhizosphere soil","present","endophytic","mycorrhizal","saprotrophic","isolated from surface-sterilized roots",NA,"Full-Text"
"Relevant","abstract","abstract","0","10.1002/jsfa.9385","arachis hypogaea (peanut)","phomopsis liquidambari","rhizosphere","present","endophytic","improved rhizosphere soil microenvironment","enhanced nutrient uptake and suppressed peanut disease incidence.",NA,NA,"abstract-csv; doi_10.1002_jsfa.9385","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1744-7348.1995.tb07603.x","pisum sativum (pea)","phoma medicaginis var. pinodella","seeds","present","pathogenic","detected in infected pea seeds using elisa method.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1111_j.1744-7348.1995.tb07603.x","Abstract"
"Relevant","abstract","abstract","0","10.1007/bf02182047","trifolium pratense l.","g. fasciculatum","root","present","mycorrhizal","inoculated in acid soils","root colonization studied over 4 months","relative infection by glomus tenue compared to coarse vam fungi.",NA,NA,"Abstract"
"Relevant","abstract","abstract","0","10.1016/j.phytol.2015.03.017","polysiphonia scopulorum var. villum","aspergillus nidulans en-330","culture of fungus","present","endophytic","isolated from marine red alga","marine",NA,"abstract-csv","doi_10.1016_j.phytol.2015.03.017","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.funeco.2022.101181","elderberry","endophytic fungal community",NA,"present","endophytic","amplicon sequencing of endophytic fungi; pna clamping used to reduce host-plant co-amplification",NA,NA,"abstract-csv","doi_10.1016_j.funeco.2022.101181","Abstract"
"Relevant","full-text","abstract","0","10.13346/j.mycosystema.200296","cremastra appendiculata (orchidaceae)","alternaria alternata","root","present",NA,"isolated from roots","taibaishan nature reserve","central china","china","abstract-csv; doi_10.13346_j.mycosystema.200296","Full-Text"
"Relevant","abstract","abstract","0","10.1128/mra.01199-23","neolitsea pulchella","annulohypoxylon sp. fpyf3050",NA,"present","endophytic","isolated from the host plant",NA,NA,"abstract-csv","doi_10.1128_mra.01199-23","Abstract"
