"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1995.tb04331.x","alnus incana (l.) moench","penicillium nodositatum valla","root cortical cells","present","endophytic","infects and colonizes root cortical cells","inducing the formation of myconodules. behaves as a neutral microsymbiont.","(not provided in text)","(not provided in text)","abstract-csv,doi_10.1111_j.1469-8137.1995.tb04331.x","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.chemosphere.2017.05.017","zea mays (corn)","pseudomonas fluorescens tp13","seedlings","present","endophytic","co-inoculation of corn seedlings with pseudomonas fluorescens tp13 carrying a self-transmissible degradative plasmid","and p.?fluorescens streptomycin-resistant p13 strain.","soil",NA,"abstract-csv,doi_10.1016_j.chemosphere.2017.05.017","Abstract"
"Relevant","abstract","abstract",0,"10.1094/pdis-93-10-0993","vitis vinifera (grapevine)","nameaureobasidium pullulans","shoots","present","endophytic","isolated from shoots of grapevines in italian vineyards where spontaneous recovery from phytoplasma disease is recurrent.","vineyard","italy","abstract-csv","doi_10.1094_pdis-93-10-0993","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1364-3703.2008.00479.x","hordeum vulgare l.","pyrenophora graminea","embryo","scutellar node","present","pathogenic","causing barley leaf stripe","growth ceased in resistant genotype at scutellar node",NA,",abstract-csv,doi_10.1111_j.1364-3703.2008.00479.x","Abstract"
"Relevant","abstract","abstract",0,"10.1093/jambio/lxac015","anthemis altissima","trichaptum biforme",NA,"present","endophytic",NA,"isolated from medicinal plants with plant-promoting ability on maize (zea mays l.)","northeast-iran","iran","abstract-csv,doi_10.1093_jambio_lxac015","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.mycmed.2019.07.005","artemisia annua","candida tropicalis atcc 750",NA,"present","pathogenic","used as test subjects for the antifungal activity of artemisia annua synthesized silver nanoparticles",NA,NA,"abstract-csv","doi_10.1016_j.mycmed.2019.07.005","Abstract"
"Relevant","abstract","abstract",0,"10.3767/persoonia.2020.45.01","populus","cytospora spp.",NA,"present","endophytic","saprotrophic","and possibly pathogenic","collected from diverse hosts in china","primarily causing canker diseases of woody host plants.","cold and dry environments of northeast, northwest, north, and southwest china,china,abstract-csv,doi_10.3767_persoonia.2020.45.01","Abstract"
"Relevant","abstract","abstract",0,"10.1111/wre.12575","impatiens glandulifera","roleendophytic","root","present","mutualistic","biological control agent","endophytic",NA,"but the latter two reduce rust sporulation. all three fungal types together reduce plant size.",NA,"Abstract"
"Relevant","abstract","abstract",0,"10.13292/j.1000-4890.201809.038","vaccinium hirtum thunb. var. koreanum (nakai) kitamura","ericoid mycorrhizal fungi","capillary roots","present","mycorrhizal","found in capillary roots. aids in moisture and nutrient absorption.","mountainous cliffs or rocky areas with extreme environment","china","abstract-csv","doi_10.13292_j.1000-4890.201809.038","Abstract"
"Relevant","full-text","full-text",22,"10.3897/mycokeys.116.142263","phyllostachys edulis (moso bamboo)","apiospora arundinis","culm","present","pathogenic","causative agent of culm rhomboid rot",NA,"china","full-text","doi_10.3897_mycokeys.116.142263","Full-Text"
